epoch,loss_avg,loss_test,acc_test
0.0,1.6887092427190007,0.013486044432527275,18.344086021505376
1.0,1.4143766161782305,0.01196432057247367,50.193548387096776
2.0,1.2455371371630966,0.009270308030548916,58.17204301075269
3.0,1.1484696322131431,0.009007952027423407,59.39784946236559
4.0,1.0751447480642933,0.008069500301473884,63.956989247311824
5.0,1.0273173815388787,0.007999643603319763,62.40860215053763
6.0,0.975685099568004,0.00784357685555694,66.02150537634408
7.0,0.9001093419461415,0.0075511106912807754,66.40860215053763
8.0,0.7705041494905607,0.0069550130924870895,69.13978494623656
9.0,0.6907335667303582,0.007128032167111674,69.44086021505376
